,index,Location_Coordinates,Location,Hospital_Name,State,District
2802,5587,"22.7788044, 73.6142795","1St Floor, Nikki Complex, Prabha Road, Godhra",Kalrav Children Hospital,Gujarat,Panchmahal
2803,5588,"22.7693277, 73.621316","Opposite Vishwakarma Mandir, Civil Lines, Godhra",Kamodia Surgical Hospital And Dental Clinic,Gujarat,Panchmahal
2804,5589,"22.6766874, 73.4077076","Lic Road, B/H. Lokhandwala, Godhra, Vadodara",Lara Mother Health Care Centre,Gujarat,Panchmahal
2805,5590,"22.3036173, 73.2081559","Above The Janseva Co-Op Credit Ltd, Nava Bazar",Life Line Polyclinic And Hospital - Godhra,Gujarat,Panchmahal
2806,5591,"22.7788044, 73.6142795","Nava Bazar, M G Road, Godhra",Masoom Children Hospital,Gujarat,Panchmahal
2807,5592,"22.7788044, 73.6142795","Nr. Water Tank, Chitra Cinema Road, Godhra",Medical Nursing Home and Heart Care Centre,Gujarat,Panchmahal
2808,5593,"22.7788044, 73.6142795","Panjrapole, Godhra",Mental Health and Deaddiction Clinic,Gujarat,Panchmahal
2809,5594,"22.7788044, 73.6142795","1St Floor, Kadiawad Chowk, Godhra",Mithiborwala Hospital and Heart Care Centre,Gujarat,Panchmahal
2810,5596,"22.7788044, 73.6142795","Nr Jain Derasar, Dahod Road, Godhra",Nulife Hospital And Critical Care Centre,Gujarat,Panchmahal
2811,5597,"21.6264236, 73.0151984",Ankleshwar Mahadev Rd. Nr. Bus Stnd Nr. Bus Stnd,Panchal Hospital,Gujarat,Panchmahal
2812,5598,"22.7788044, 73.6142795","Opposite B V Gandhi Petrol Pump, Godhra",Prarthna Nagar Maternity Home,Gujarat,Panchmahal
2813,5599,"22.7788044, 73.6142795",""" Deep Jyot"" Opposite Bank Of Baroda, Nr. Church, Godhra",Roshni Eye Care Centre,Gujarat,Panchmahal
2814,5600,"22.7844189, 73.6704673","Vavdi Bujarg, Dahod Road, Godhra",S. P. P. T. Mirani Eye Hospital,Gujarat,Panchmahal
2815,5601,"22.7788044, 73.6142795","Opposite B.V. Gandhi Petrol Pump, Prabha Road, Godhra",Sagar Hospital,Gujarat,Panchmahal
2816,5602,"22.7735669, 73.6205058","Kalal Darwaja, Godhra",Sanjivani Children Hospital,Gujarat,Panchmahal
2817,5603,"22.7788044, 73.6142795","Nava Bazar, Godhra",Sara Mother and Child Health Care Centre,Gujarat,Panchmahal
2818,5604,"22.7788044, 73.6142795","Dahod Road, Godhra",Sarvjanik Prasutigruh,Gujarat,Panchmahal
2819,5606,"22.7683667, 73.6213318","Civil Lines, Godhra",Sevashram Hospital,Gujarat,Panchmahal
2820,5607,"22.7788044, 73.6142795","Opposite Jain Society, Bus Stand, Church Road, Godhra",Shardamangalam Hospital,Gujarat,Panchmahal
2821,5608,"22.7788044, 73.6142795","Nr Bhuravav Char Rasta, Opposite Satluj Hotel, Godhra",Shivam Hospital For Cardio Neuro Care,Gujarat,Panchmahal
2822,5610,"22.7788044, 73.6142795","OppositeB.V.Gandhipetrol Pump, Godhra",Sudershan Hospital,Gujarat,Panchmahal
2823,5613,"61.004878, 14.537003","Referral Hospital/Samuhik Aarogya Kendra, Mora",Chc Mora,Gujarat,Panchmahal
2824,5620,"23.0234765, 73.529964",Kothamba,Sarvoday Hospital,Gujarat,Panchmahal
2825,5623,"23.1264049, 73.6059702","Near Bus Station, Lunawada",Akash Surgical Hospital,Gujarat,Panchmahal
2826,5625,"22.3071588, 73.1812187","Near S T Depot, Highway Cross Roads,Lunawada, Vadodara",Bhagat Hospital,Gujarat,Panchmahal
2827,5633,"23.1332572, 73.6160745",Lunawada,Sameer Surgical Ghospital,Gujarat,Panchmahal
2828,5640,"23.1908041, 73.8962994","Referral Hospital/Samuhik Aarogya Kendra, Santrampur",Chc Santrampur,Gujarat,Panchmahal
2829,5642,"23.1908041, 73.8962994","Opposite Bus-Stop, Lunawada Road, Santrampur",Modi Surgical Hospital and Nursing Home,Gujarat,Panchmahal
2830,5643,"23.1908041, 73.8962994","College Road, Santrampur",Parasmani Hospital,Gujarat,Panchmahal
2831,5644,"23.1908041, 73.8962994","OppositeOld Bus Stand, Godhra Road, Santrampur",Priyal Hospital,Gujarat,Panchmahal
2832,5645,"23.1908041, 73.8962994","Collage Road, Santrampur",Shraddha Maternity and Nursing Hospital,Gujarat,Panchmahal
2833,5647,"22.6087487, 73.4622161","Referral Hospital/Samuhik Aarogya Kendra, Kalol",Chc Kalol,Gujarat,Panchmahal
2834,5648,"22.6087487, 73.4622161","Nr.Lal Darvaja, Kalol",Laxmi Prusuti Gruh and Nursing Home,Gujarat,Panchmahal
2835,5649,"23.0263517, 72.5819013",Near Lal Darwaja,Navinchandra Mafatlal Medical Trust,Gujarat,Panchmahal
2836,5650,"22.6087487, 73.4622161","Opp Nmg Hospital,Laldarwaja,Kalol",Pooja Children Hospital,Gujarat,Panchmahal
2837,5651,"22.6087487, 73.4622161","43,Kalol Co.Op.Housing Society,Kalol",Radha Gopi Maternity Hospital,Gujarat,Panchmahal
2838,5652,"22.6087487, 73.4622161","Derol Station Road, Kalol",Supeda Surgical and Maternity Hospital,Gujarat,Panchmahal
2839,5659,"22.5063722, 73.4718525","Near Bus Stand, Halol",K.S.Sheth Sarvajanik Prasutigruh P.M.Parikh Gener,Gujarat,Panchmahal
2840,5662,"22.5063722, 73.4718525","Near Bus Stand, Halol",Malay Medical and Heart Hospital,Gujarat,Panchmahal
2841,5664,"22.7693517, 73.6360315","6, Nandanvan Soc, Godhra Rd",Rachana Medical Nursing Home,Gujarat,Panchmahal
2842,5675,"23.9196207, 72.3668366",C-Maruti Complex-T Sidhpur,Dr Rajesh R Bhargava Nursing Home,Gujarat,Patan
2843,5679,"23.9196207, 72.3668366",Sidhpur,Shriji Medical And Heart Hospital,Gujarat,Patan
2844,5680,"23.9196207, 72.3668366","Near Bus Stand, Doctor House, Sidhpur",Sonam Hospital and Urology Centre,Gujarat,Patan
2845,5683,"23.7192097, 72.1090303","Chanasma Chc, Ta-Chanasma",Chc-Chanasma,Gujarat,Patan
2846,5698,"19.8875183, 75.3156324","Near Kohinoor Cinema, Station Road",Dev Orthopaedic Hospital,Gujarat,Patan
2847,5712,"17.0520103, 79.2849121","Laxminagar, Near Bus Stand",Hiraba Medical and Heart Hospital,Gujarat,Patan
2848,5716,"52.6708691, -0.188491","Station Road,Near Corporation Bank",Jigar Heart and Medical Hospital,Gujarat,Patan
2849,5721,"23.0262685, 72.5916802","Ratan Pole, Near Kansada Darwaja",Matoshree Polyclinic Pvt Ltd,Gujarat,Patan
2850,5739,"23.8286354, 71.6139348","Lal-Baug, Radhanpur",Arbuda Maternity and Surgical Hospital,Gujarat,Patan
2851,5741,"23.7630716, 71.1671315","Varahi Chc,Ta-Santalpur",Chc-Varahi,Gujarat,Patan
2852,5743,"21.6417069, 69.6292654",Wadi Plot,Anand Surgical and Meternity Hospital,Gujarat,Porbandar
2853,5744,"21.6412697, 69.6136479",Uganda Road,Arpan Maternity Hospital,Gujarat,Porbandar
2854,5746,"22.7111427, 75.882231","Bus Stand Road,Opp Church",Civil Hospital(Bhavsinhji Hospital),Gujarat,Porbandar
2855,5748,"21.6417069, 69.6292654",Lal Palace Road,Dr B G Parwani Nursing Home,Gujarat,Porbandar
2856,5750,"21.6417069, 69.6292654",Youganda Road,Manan Maternity Home,Gujarat,Porbandar
2857,5756,"21.6417069, 69.6292654",Near New Fuvara,Sagun Hospital,Gujarat,Porbandar
2858,5757,"21.6417069, 69.6292654",Near New Fauntain,Shree Morarji Kheraj Thakrar Orthopaedic Hospital,Gujarat,Porbandar
2859,5758,"21.6412697, 69.6136479",Uganda Road,Shrey Hospital and Icu,Gujarat,Porbandar
2860,5762,"22.2892287, 70.7767843",Next To Holy Saint School Jaimal Parmar Marg Kalawad Road Rajkot,Aaruni Hospital Pvt Ltd,Gujarat,Rajkot
2861,5763,"22.3104626, 70.8205503","Kanak Road, B/H S. T. Bus Station",Accident Fracture Hospital,Gujarat,Rajkot
2862,5764,"22.2835458, 70.7805507",Astron Circle Rajkot,Aishwarya Cancer Hospital,Gujarat,Rajkot
2863,5767,"22.3038945, 70.8021599","Ganga Complex,Vidyanagar Main Road, Opp Patel Bording,Rajkot",Ayush Hospital,Gujarat,Rajkot
2864,5771,"22.287913, 70.7909256","97, Jananta Socieaty, Tagore Road, Rajkot, Gujarat.",Bhatt Eye Hospital,Gujarat,Rajkot
2865,5774,"22.2888967, 70.7992173","2Nd Floor, Parishram Plaza, Mangla Road, Rajkot, Gujarat",Darshan Eye Care Centre,Gujarat,Rajkot
2866,5775,"22.3038945, 70.8021599",Morbi,Darshan Eye Hospital,Gujarat,Rajkot
2867,5776,"22.2988464, 70.8082789","Soni Bazar,Rajkot",Dashashrimali Vanik Mahajan Hospital,Gujarat,Rajkot
2868,5777,"22.2936308, 70.7918496","22,Jagnath Plot,Rajkoot",Dastur Hospital,Gujarat,Rajkot
2869,5779,"22.2906498, 70.7981329","Vidyanagar Main Road, Rashtriyashala Corner Rajkot.",Divine Helth Care Centre,Gujarat,Rajkot
2870,5784,"22.3038945, 70.8021599","Near Moti Tank,",Dr. Mody Hospital,Gujarat,Rajkot
2871,5785,"22.3038945, 70.8021599","5, Junction Plot Near Sub Post Office Rajkot",Dr. Nirbhay Shah Joint Replacement Fellow,Gujarat,Rajkot
2872,5786,"22.3038945, 70.8021599","Madhuram Ashirwad Hospital, 10-Ranchod Nagar,Rajkot",Dr. Swami I.P,Gujarat,Rajkot
2873,5787,"22.2880314, 70.795218","Vidyanagar Main Road, Near 7 Manhar Plot Rajkot-",Dr.Dholakia Orthopaedic Hospital,Gujarat,Rajkot
2874,5790,"22.3038945, 70.8021599","12/14, Manhar Plot, Vidhyanagar Main Road Rajkot-",Gokul Hospital And Trauma Centre,Gujarat,Rajkot
2875,5792,"22.3038945, 70.8021599","1, Vaishali Nagar, Behind Cancer Hospital, Near Amrapali Rly, Crossing Rajkot",Jain Hospital,Gujarat,Rajkot
2876,5793,"22.3108082, 70.8008461","5, Junction Plot,.",Jethwani Hospital,Gujarat,Rajkot
2877,5794,"22.2975829, 70.7827338","1, Vaishali Nagar, Rajkot `",Jolly Maternity Hospital,Gujarat,Rajkot
2878,5795,"22.3038945, 70.8021599","Jay Sardar Road, B/H Rajshreegar Party Plot,Nr Nanamava Circle,Rajkot",Kalindi Hospital,Gujarat,Rajkot
2879,5796,"22.3038945, 70.8021599","Karansingh Main Road, Karanpura, Rajkot, Gujarat",Keshubhai Mehta Eye Hospital,Gujarat,Rajkot
2880,5797,"22.2996861, 70.7787619","1, Vaishalinagar, Raiya Road,",Kirti Hospital,Gujarat,Rajkot
2881,5800,"22.276491, 70.8002882",""" Sangeeta"" Nr. Madhuram Hospital . Dhebar Road, Rajkot-",Nakshatra Children Hospital,Gujarat,Rajkot
2882,5801,"22.2880314, 70.795218","Vatsal Sankul, Vidyanagar Street No. 1, Vidyanagar Main Road, Rajkot.",Naman Neurosurgical Nursing Home,Gujarat,Rajkot
2883,5803,"22.2892287, 70.7767843","Nr K K V Circal,Kalavad Road,Rajkot",Nitya Children Hospital,Gujarat,Rajkot
2884,5805,"22.3038945, 70.8021599","Dr Rajendraprasad Road, Chowdhary High School Chowk, Rajkot.",Pandya Ent Hospital,Gujarat,Rajkot
2885,5806,"22.3038945, 70.8021599","Moti Tanki Chowk, Rajkot",Pandya Neuro Centre,Gujarat,Rajkot
2886,5807,"22.3038945, 70.8021599","30, Karanpura, Vansiro House Karansinhji Main Road, Rajkot",Pooja Surgical Hospital,Gujarat,Rajkot
2887,5808,"22.2921311, 70.7814087","2-Kirti Nagar,Kalawad Road",Radia Hospital,Gujarat,Rajkot
2888,5811,"23.2344192, 69.6579311","26,Anand Colony, Nr.Jubilee Ground, Bhuj",Rana Hospital - Bhuj,Gujarat,Rajkot
2889,5812,"22.3038945, 70.8021599","Moti Tanki Chowk, Kamdhenu Building Street, Rajkot",Ratnam Hospital,Gujarat,Rajkot
2890,5813,"22.3013432, 70.7677375","Upassana Complex, 3Rd Floor, Opposite Old Cancer Hospital, Raiya Road, Rajkot",Retina Hospital,Gujarat,Rajkot
2891,5815,"22.3038945, 70.8021599","Karansinghji Main Road, Near Centre Point, Rajkot",Samanvay Hospital,Gujarat,Rajkot
2892,5816,"22.2862569, 70.7720196","University Road,N V Ketcha Chowk,Rajkot",Satnam Child Care,Gujarat,Rajkot
2893,5817,"22.2888967, 70.7992173",2Nd Floor Parishram Plaza,Savjiani Medico Pvt. Ltd. (Darshan Eye Care Clinic and Phaco Centre),Gujarat,Rajkot
2894,5818,"21.0889358, 71.7623632",Near Gandhi Marg Mahuva Gujrat,Shanti Nursing Home Maternity Centre,Gujarat,Rajkot
2895,5821,"22.2899674, 70.8039826","32, Karanpura, Karansinhji Road, Rajkot",Shiv Hospital,Gujarat,Rajkot
2896,5822,"22.3038945, 70.8021599","1, Vaishali Nagar, Nr Mahila Collage, Underbridge, Nr Raiya Road, Railway Crossing ,Opp Railway Track,Rajkot",Shivalik Hospital Neuro Spine and Gynec Center,Gujarat,Rajkot
2897,5823,"22.3038945, 70.8021599","Jam Tower, Rajkot",Shree G.T. Sheth Orthopaedic Hospital,Gujarat,Rajkot
2898,5824,"22.2930756, 70.8023791","Gundavadi Chowk,Rajkot",Shree Padmakunverba Hospital,Gujarat,Rajkot
2899,5825,"22.3038945, 70.8021599","Doctor Plaza, Kasturba Road, Opp Jubilee Baug, Rajkot",Siddhi Orthopaedic Hospital,Gujarat,Rajkot
2900,5826,"21.7371125, 70.2775479",Opposite Mayur Press Shahid Arjun Road Upleta,Sojitra Maternit Home and Sonography Clinic,Gujarat,Rajkot
2901,5827,"22.2912269, 70.7973321","1,Jagnath OppositeRam Krishna Ashram,Dr.Yagnik Road Rajkot",Swastik Surgical Hospital and Dental Clinic,Gujarat,Rajkot
2902,5828,"22.3038945, 70.8021599","""Ghanshyam Bhuvan"",1,Jairaj Plot,Rajkot",Tejas Maternity andSurgical Nursing Home,Gujarat,Rajkot
2903,5829,"22.2936308, 70.7918496","21, Jagnath Plot Rajkot",Thanky Hospital,Gujarat,Rajkot
2904,5830,"22.301611, 70.7983695","Chandhari High School Circle,Kasturba Rd,,.",The Rathod Hospital,Gujarat,Rajkot
2905,5831,"22.3038945, 70.8021599","Nr Patel Boarding Opp 12 Manhar Plot, Vijayanagar Main Road, Rajkot, Gujarat",Uro Care Hospital,Gujarat,Rajkot
2906,5833,"22.2952356, 70.7904399","Surgical Hospital & Diabetic Hospital 13/3, Jagnath Plot, Rajkot",Vijay Vachhrajani Memorial Hospital,Gujarat,Rajkot
2907,5836,"22.2789455, 70.8002569",Opp Bhaktinagar Society Dhebar Road (South) Rajkot,Agrwal Eye Clinic Madhuram Hospital,Gujarat,Rajkot
2908,5837,"22.2667605, 70.8090222","Opposite Kanta Stree Vikas Gruh, Near Globe Transport, Bhaktinagar, Rajkot",Angel Maternity and Surgical Hospital,Gujarat,Rajkot
2909,5838,"22.2901202, 70.7983502","Opposite Rashtriya Shala, Near Dr Yagnik Rd, Rajkot",Dhruva Eye Hospital,Gujarat,Rajkot
2910,5840,"22.2880437, 70.7967942","Rajnit Estate, Mangla Road, Rajkot",Dr. Vivek Joshi`S Urological Hospital and Dialysis,Gujarat,Rajkot
2911,5841,"22.2866421, 70.7919486","Near Virani Chowk, Rajkot",Gadre Eye Care Centre,Gujarat,Rajkot
2912,5843,"22.2985697, 70.8008335","4, Panchnath Plot Rajkot,",Mangalam Hospital Maternity Home And Surgical Hos,Gujarat,Rajkot
2913,5844,"22.2586078, 70.798323","Devpara Vegetable Market Shopping Complex,1St Floor,Kotharia Main Road,Rajkot-",Nano Maternity Home,Gujarat,Rajkot
2914,5845,"22.2901202, 70.7983502","Opp:Rashtriya Shala, Rajkot",Parth Hospital,Gujarat,Rajkot
2915,5848,"22.2877564, 70.7961246","4, Manhar Flot,Mangla Road,.",Sadbhavna Surgical Hospital,Gujarat,Rajkot
2916,5849,"22.3038945, 70.8021599","Bhootkhana Chowk, Near Lodhawad Police Chowki, Rajkot",Samarpan Hospital,Gujarat,Rajkot
2917,5851,"22.3139806, 70.7880509","2-Shramjivi Society, Rajkot",Sankalp Hospital,Gujarat,Rajkot
2918,5852,"22.3038945, 70.8021599","Parishram Plaza, 2Nd Floor, Nr. Lodhavad Chowk, Rajkot",Sarvottam Surgical Hospital,Gujarat,Rajkot
2919,5855,"22.276491, 70.8002882","Near Gurukul Water Tank, Dhebar Road Rajkot",Shivani Hospital,Gujarat,Rajkot
2920,5856,"22.3038945, 70.8021599","Sanjivani Complex, Opp Dr. Modhas Hospital, Vidhyanagar Main Road, Rajkot",Shree Gokul Critical Care Unit and Hospital,Gujarat,Rajkot
2921,5857,"22.2747087, 70.8044036","Gayatri Nagar Main Road, Rajkot, Rajkot, Gujarat",Shree Raj Hospital,Gujarat,Rajkot
2922,5859,"22.2880314, 70.795218",Vidyanagar Main Road,Shreyas Hospital,Gujarat,Rajkot
2923,5861,"22.3038945, 70.8021599","80 Feet Road,Garbi Chowk,Rajkot",Subham Hospital,Gujarat,Rajkot
2924,5862,"22.3038945, 70.8021599","Karan Cg Main Road, Opp Centre Point Rajkot",Surabhi Hospital,Gujarat,Rajkot
2925,5863,"22.3030103, 70.8952337",Vidhayanagar Main Road Nr Patel Bording Rajkot-360002,Swapn Healthcare Hospitals Pvt Ltd,Gujarat,Rajkot
2926,5864,"22.3136189, 70.8195703",Behind St Bus Stand Kanak Road Rajkot-360001,Swari Ent Hospital,Gujarat,Rajkot
2927,5867,"22.3182429, 70.8373566","Near Shri Ranchhoddasji Bapu Ashram, Kuvadva Road, Rajkot, Rajkot, Gujarat",Dhakaan Multi Super Speciality Hospital,Gujarat,Rajkot
2928,5868,"22.2953669, 70.7768789","Nirmala Convent Rd,",Shreeji Hospital,Gujarat,Rajkot
2929,5869,"22.3038945, 70.8021599","150 Ft Ring Road Opp Jithariya, Hanuman Temple Mavdi Chawk Rajkot 360004 Dist Rajkot Gujarat",Ashirwad Hospital,Gujarat,Rajkot
2930,5870,"22.2667609, 70.799588","Malaviya Nagar, Gondal Road, Rajkot",H. J Doshi Sarvajanik Hospital And Medical Resear,Gujarat,Rajkot
2931,5871,"22.2667609, 70.799588","Malaviya Nagar,Gondal Road Rajkot-360 004",Harilal Jechand Doshi Sarvajanik HospitalandMedical,Gujarat,Rajkot
2932,5872,"22.3038945, 70.8021599","150 Feet Ring Road, Shaneshvar Arched Bulilding,2Nd Floor Nr Mavdi Chokdi,Rajkot",Panchmukhi Hospital,Gujarat,Rajkot
2933,5873,"22.3038945, 70.8021599","Mavdi Plot Main Road, Anandbanglloe Chowk,Rajkot",Raghuveer Hospital,Gujarat,Rajkot
2934,5874,"21.6540877, 70.9779346","Gondal Road, Near Railway Crossing Rajkot",S.S. Shree Dharmajivandasji Hospital,Gujarat,Rajkot
2935,5875,"22.3038945, 70.8021599","Gondal Road,Near Water Tank,Rajkot",Shri Swaminarayan Gurukul Hospital,Gujarat,Rajkot
2936,5876,"21.1813252, 72.833554","No. 150, Ring Road Indira Circle",Arpan Maternity and Medical Nursing Home,Gujarat,Rajkot
2937,5877,"54.5831973, -5.9368525","Near University Gate. University Road, Rajkot",B.T.Savani Kidney Hospital,Gujarat,Rajkot
2938,5878,"22.2964051, 70.7941564","Opposite Vishveshwar Mahadev Temple,Mavdi Main Raod,Rajkot - 360001",Sahyog Hospital Pvt Ltd,Gujarat,Rajkot
2939,5879,"22.3038945, 70.8021599","150 Feet, Ring Road, 27- Navjyot Park Main Road, Amin Marg, Cross Road, Rajkot, Rajkot, Gujarat",Shri Giriraj Multi Speciality Hospital,Gujarat,Rajkot
2940,5880,"22.2892287, 70.7767843","Sri Sathya Sai Marg, Off Kalawad Road, Rajkot.",Sri Sathya Sai Heart Hospital,Gujarat,Rajkot
2941,5882,"22.3144697, 70.7905408","Madhapar, Jamnagar Rd, Rajkot-360006",Christ Hospital,Gujarat,Rajkot
2942,5883,"22.3074223, 70.7916183","5-Africa Colony,B/H, In Ozone Mail,Nr. Water Tank, 150 Feet Ring Road, Rajkot",Dristhy Hospital,Gujarat,Rajkot
2943,5884,"22.3074223, 70.7916183","3, Mombasa Avenue,B/H, Raiya Telephone Exchange,150 Ft. Ring Road Rajkot",Mathur Hospital,Gujarat,Rajkot
2944,5885,"22.2893509, 70.7715219",Nr.Indira Circle 150 Feet Ring Road Rajkot,Arpan Hospital,Gujarat,Rajkot
2945,5886,"22.3013432, 70.7677375","First Floor,Jayshree Comp,Near Raiya Circle,Raiya Road,Rajkot",Ashka Maternity Homeand Surgical Hospital,Gujarat,Rajkot
2946,5888,"22.2761212, 70.7598376","Kalawad Road, Rajkot Rajkot 360007 Dist Rajkot Gujarat",Nm Virani Wockhardt Hospital,Gujarat,Rajkot
2947,5890,"22.2892287, 70.7767843","Kalawad Road, Rajkot",Umiya Surgical Hospital,Gujarat,Rajkot
2948,5891,"22.1591251, 70.7941564","Nr Police Chowkey,Shapar Veraval Patiya,Shapar-Veraval",Shree Ram Hospital,Gujarat,Rajkot
2949,5892,"22.3038945, 70.8021599","Atkot Road, Opp - Ram Sales, Nr - Rajwadi Resturent, Jasdan, Dist - Rajkot",Harsiddh Children Hospital,Gujarat,Rajkot
2950,5895,"22.3038945, 70.8021599","Atkot Road, Opp - Gayatri Mandir, Jasdan, Dis - Rajkot",Kotadiya Meternity and Nursing Home,Gujarat,Rajkot
2951,5897,"22.3038945, 70.8021599","Ugamni Bari, Nr - Shri Bharad Meldi Matanu Mandir, Botad Road, Vinchiya, Ta - Jasdan, Dis - Rajkot",Shri Mandvray Hospital And Prasuti Gruh,Gujarat,Rajkot
2952,5899,"22.3038945, 70.8021599",College Chowk,Jogi Hospital - Gondal,Gujarat,Rajkot
2953,5900,"21.9619463, 70.792297","17,Station Plot,Old Cement Road,Gondal-360311",Ramnath Hospital Pvt Ltd,Gujarat,Rajkot
2954,5902,"21.848742, 70.698065","Jetpur Road, Gondal, Rajkot",Sushen Surgical Hospital,Gujarat,Rajkot
2955,5903,"23.0000614, 70.8927307","Kanakiya Plot, Nr Nagrik Bank, Jetpur",Diagnostic Centre and Surgical Hospital,Gujarat,Rajkot
2956,5904,"22.3038945, 70.8021599",Kanakia,Dr Wadhwani Hospital,Gujarat,Rajkot
2957,5906,"22.3038945, 70.8021599","Kanakiya Plot, Opposite Taluka Panchayat Office, B/H Bus Stand Jetpur, Dist- Rajkot",Ishwar Surgical Hospital,Gujarat,Rajkot
2958,5907,"22.3038945, 70.8021599",Fullwadi Road,Nanavati Hospital,Gujarat,Rajkot
2959,5908,"22.3038945, 70.8021599",Kankia Plot,Raiyani Surgical Hospital - Jetpur,Gujarat,Rajkot
2960,5909,"22.3038945, 70.8021599","Kanakiya Plot, B/H-Raj Benk, Jetpur, Dist- Rajkot",Sakar Orthopeadic Hospital,Gujarat,Rajkot
2961,5911,"23.0000614, 70.8927307","Kanakia Plot, Jetpur",Shivam Maternity Home and Surgical Hospital,Gujarat,Rajkot
2962,5912,"21.7542374, 70.6063656","Nr Chetna Cinema,Dhoraji Road,Jetpur",Sojitra Hospital,Gujarat,Rajkot
2963,5913,"21.7379033, 70.4571172","Lunagaria Orthopaedic Hospital, Jetpur Road, Dhoraji - 360410",Lunagaria Orthopaedic Hospital,Gujarat,Rajkot
2964,5914,"22.3038945, 70.8021599","Sanid Arjun Road,.",Dalsania Surgical Hospital,Gujarat,Rajkot
2965,5915,"22.3038945, 70.8021599","Shahid Arjun Road,.",Nirmal Orthopaedic Hospital,Gujarat,Rajkot
2966,5920,"22.8156106, 70.8315057",Morbi,Civil Hospital,Gujarat,Rajkot
2967,5921,"22.3038945, 70.8021599","Ram Chowk, Morbi",Dhwani Ent Hospital,Gujarat,Rajkot
2968,5924,"22.8158929, 70.8294617","7,Savsar Plot,Morbi",Jivandeep Hospital,Gujarat,Rajkot
2969,5925,"22.8119895, 70.8236195","Behind Mahesh Hotel, Shanaia Main Road, Morbi, Morbi",Krishna Multispeciality Hospital,Gujarat,Rajkot
2970,5927,"22.8158929, 70.8294617","7, Savsar Plot","Parth Hospital, Morbi",Gujarat,Rajkot
2971,5929,"22.3038945, 70.8021599",At- Morbi,Rogi Kalyan Samiti Government Eye Hospital,Gujarat,Rajkot
2972,5930,"22.3038945, 70.8021599","Sanala Road, Morbi",Devshree Hospital,Gujarat,Rajkot
2973,5931,"22.3038945, 70.8021599","Rajkot Road,Morbi",Mahajan Medical Centre and Nursing Home,Gujarat,Rajkot
2974,5932,"23.6036268, 72.9639461",Umiya House Opp Arogaynagar Near Bus Stand Himmatnagar,A V M Orthopaedic Hospital,Gujarat,Sabar kantha
2975,5933,"23.6036268, 72.9639461","Above Standard Furniture, OppositeS.T.Bus Stand, Nr.Railway Overbridge, Himatnagar",Aashay Eye Hospital,Gujarat,Sabar kantha
2976,5935,"23.6036268, 72.9639461","Nr Mehta Petrol Pump, Girdharnagar, Himatnagar",Aavkar Hospital,Gujarat,Sabar kantha
2977,5936,"23.6036268, 72.9639461","Umiya House, Nr.S.T.Busstop, Himmatnagar",Aayush Heart and Medicare Hospital,Gujarat,Sabar kantha
2978,5937,"23.5936894, 72.9617257","Opp: S.T. Stand, Himmatnagar, Sabarkantha",Ashay Eye Hospital,Gujarat,Sabar kantha
2979,5938,"25.9067837, 93.7316482","Opposite Civil Hospital, Near State Bank Of India",Avishkar Healthcare Pvt Ltd,Gujarat,Sabar kantha
2980,5940,"23.6036268, 72.9639461","Bhagyoday Hospital Opposite S.T. Bus Station, Himmatnagar",Bhagyoday Charitable Trust,Gujarat,Sabar kantha
2981,5942,"23.6036268, 72.9639461","Opp : Collector Office, State Highway, Himmatnagar",Chirag Hospital,Gujarat,Sabar kantha
2982,5943,"23.6036268, 72.9639461","Civil Hospital, Himmatnagar",Civil Hospital,Gujarat,Sabar kantha
2983,5944,"23.6036268, 72.9639461","Nr.Mehta Petrol Pump, Ghirdharnagar, Railway Crossing, Himatnagar",Harsh Surgical Hospital,Gujarat,Sabar kantha
2984,5945,"23.6036268, 72.9639461","Nr.Aarogyanagar Busstop, Himmatnagar",J K Orthopedic Hospital,Gujarat,Sabar kantha
2985,5946,"23.6036268, 72.9639461","2Nd Floor, Umiya Shopping Center, Nr.Bus Stop, Himmatnagar",Jay Children Hospital,Gujarat,Sabar kantha
2986,5947,"23.6036268, 72.9639461","Aarogya Nagar, Nr St Stand, Himatnagar",Jyoti Eye Hospital,Gujarat,Sabar kantha
2987,5948,"23.6036268, 72.9639461","Near Palace, Nyay Mandir,Himatnagar",Khushboo Maternity and Surgical Hospital,Gujarat,Sabar kantha
2988,5949,"23.6036268, 72.9639461","Sarvoday Hospital Campus, Nr Townhall, State Highway, Himmatnagar",Krishna Sarvajanik Hospital and Prasutigruh,Gujarat,Sabar kantha
2989,5950,"23.6036268, 72.9639461","1St Floor, Juni Dipali Hospital, Near Arogyanagar Bus Stand, Himmatnagar",Laxmi Maternity Home,Gujarat,Sabar kantha
2990,5951,"23.6036268, 72.9639461","Akashganga Complex, Nr. Pragati Hospital, Nr S.T. Stand, Himatnagar",Mamta Hospital,Gujarat,Sabar kantha
2991,5952,"23.6036268, 72.9639461","Aarogyanagar, Nr. Bus Stand, Himmatnagar",Manav Gynec Hospital,Gujarat,Sabar kantha
2992,5954,"23.6036268, 72.9639461","Avm Complex, 3Rd Floor,Nyay Mandir Road, Himmatnagar",Navjivan Sarvajanik Hospital and Prasuti Gruh,Gujarat,Sabar kantha
2993,5955,"23.6036268, 72.9639461","OppositeMehta Petrol Pump, Near Bus Stop, Himatnagar",Nishant Hospital,Gujarat,Sabar kantha
